image,url,id,title,released_year,runtime,genre,rate,description,directed_by,cast,votes
https://www.imdb.com/title/tt0063404/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMTI4NTM0MjE4N15BMl5BanBnXkFtZTcwODUwOTQyMQ@@._V1_UY209_CR1,0,140,209_AL_.jpg",TM_17,Padosan,1968,157 min,"Comedy, Musical, Romance",8.1,A simple man from a village falls in love with his new neighbor. He enlists the help of his musical-theater friends to woo the lovely girl-next-door away from her music teacher.,Jyoti Swaroop,"Sunil Dutt,Saira Banu,Mehmood,Kishore Kumar",4855
https://www.imdb.com/title/tt5963218/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMjkyYmQyYzctMGMxOC00MzFhLTk1NDktOTc5MmQ4MDQxYzQ1L2ltYWdlXkEyXkFqcGdeQXVyNDE1MzY2NTg@._V1_UY209_CR8,0,140,209_AL_.jpg",TM_18,Aloko Udapadi,2017,113 min,"Drama, History",9.6,"Aloko Udapadi (Light Arose) is an Epic Film of the unswerving human effort, to record for all time, a unique spiritual heritage. In 89 BC, King Walagamba of Sinhala kingdom (present day Sri...                 »",Chathra Weeraman,"Bharatha Hettiarachchi,Uddika Premarathna,Dilhani Ekanayake,Roshan Ravindra",6416
https://www.imdb.com/title/tt1501298/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BNTQ1MWQ5MjEtYzdlNi00Njc2LWFjNDgtODBiMTM4YmJhOGE4XkEyXkFqcGdeQXVyODk1MzE5NDA@._V1_UY209_CR31,0,140,209_AL_.jpg",TM_19,Kattradhu Thamizh,2007,147 min,"Drama, Mystery",8.4,"A young post-graduate faces difficulties with finding employment, and struggles against social inequalities.",Ram,"Jiiva,Anjali,Karunas,Azhagam Perumal",1778
https://www.imdb.com/title/tt5959700/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BM2NhZjZjYWMtYWQ3My00MjhhLTg2ZjEtZDNiODE1ZGExOWYyXkEyXkFqcGdeQXVyNjQ3ODkxMjE@._V1_UY209_CR6,0,140,209_AL_.jpg",TM_20,Thodari,2016,168 min,"Action, Thriller",4.7,"A cafeteria worker, a lovely young girl, and a gang of hijackers converge aboard a train.",Prabu Solomon,"Dhanush,Keerthi Suresh,Ganesh Venkatraman,Imman Annachi",714
https://www.imdb.com/title/tt2393296/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMjgxMjc0MTcwN15BMl5BanBnXkFtZTgwNDk1Njk0NzE@._V1_UY209_CR4,0,140,209_AL_.jpg",TM_21,Karma,2015,65 min,"Crime, Mystery, Thriller",7.1,Imagine a perfect murder.,R. Arvind,R. Arvind,90
https://www.imdb.com/title/tt0982944/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMmZhN2Y5OTQtMjk1Ny00OTExLWFjMGEtYWYzOTVkNGU0YzcwXkEyXkFqcGdeQXVyODk4ODEyMjk@._V1_UY209_CR28,0,140,209_AL_.jpg",TM_22,Unnale Unnale,2007,147 min,Drama,7.1,"A love triangle forms between a happy-go-lucky man, an equally chirpy woman and a serious woman.",Jeeva,"Vinay Rai,Sada,Tanishaa Mukerji,Raju Sundaram",429
https://www.imdb.com/title/tt0107166/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BYTQyMGU0MGUtM2U2Mi00ZWYwLTliNTktZjE5YjQ5ZjQ2NmI0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR8,0,140,209_AL_.jpg",TM_23,Hum Hain Rahi Pyar Ke,1993,163 min,"Drama, Family, Comedy",7.4,Rahul Malhotra (Aamir Khan) is the manager of the heavily in debt family business. He is also the guardian of his dead sister's mischievous kids. Rahul hires Vaijayanti (Juhi Chawla) as ...                 »,Mahesh Bhatt,"Aamir Khan,Juhi Chawla,Sharokh Bharucha,Kunal Khemu",4547
https://www.imdb.com/title/tt0954333/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB469860287_.png,TM_24,Kannum Kannum,2008,,Drama,6.3,"Prasanna goes to Kutralam in search of the girl of his dreams, not knowing that he is going to fall in love with his friend's sister.",G. Marimuthu,"G. Marimuthu,Prasanna,Udhayathara,Vadivelu",29
https://www.imdb.com/title/tt0117878/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMjE0MjY0OTM1NV5BMl5BanBnXkFtZTcwNjMyNDE0MQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",TM_25,Tere Mere Sapne,1996,146 min,"Action, Comedy, Drama",6.2,Balu (Arshad Warsi) is a slick but flat-broke cabdriver whose life is changed forever when he picks up an unhappy young rich man named Rahul (Chandrachur Singh) at the airport one day. ...                 »,Joy Augustine,"Chandrachur Singh,Arshad Warsi,Priya Gill,Simran",418
https://www.imdb.com/title/tt1296162/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMTgzMTIyNjc0MV5BMl5BanBnXkFtZTgwMDgwNTU3NzE@._V1_UY209_CR6,0,140,209_AL_.jpg",TM_26,Leelai,2012,145 min,"Comedy, Romance",6.4,"A guy who is just a flirt, finds his true love and has to change his identity to make it a success.",Andrew Louis,"Shiv Pandit,Manasi Parekh,Santhanam,Suhasini Raju",221
https://www.imdb.com/title/tt0955313/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BNzdiN2ZjMDctOTA1NS00ZDM2LTgyNjItOTcxN2QyZmFjMGRlXkEyXkFqcGdeQXVyODE0NjUxNzY@._V1_UY209_CR34,0,140,209_AL_.jpg",TM_27,Pachaikili Muthucharam,2007,147 min,"Action, Thriller",6.2,"After starting an affair with a married woman, a married man's life starts changing for the worse in more ways than he could imagine.",Gautham Menon,"Sarath Kumar,Jyothika,Andrea Jeremiah,Milind Soman",407
https://www.imdb.com/title/tt0977636/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BYjhhMjkyMzgtZTQ2OS00YzNhLWI1ZjAtZjkwZmU3MThkMzZjXkEyXkFqcGdeQXVyNDQxNzQ2OTY@._V1_UY209_CR83,0,140,209_AL_.jpg",TM_28,Aarya,2007,157 min,"Drama, Romance",4.8,"Deepika (Bhavana) is an arrogant rich girl. A medical college student, she dictates terms at the college. Sister of local don Kasi (Prakash Raj), she is feared by students, professors and ...                 »",Balasekaran,"Bhavana,Madhavan,Vadivelu",144
https://www.imdb.com/title/tt0977625/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BZGNkNmEyZGMtMmI2NC00MGQ2LWFlMDUtOTk1ZGJjZDhjYzI5XkEyXkFqcGdeQXVyMjM5NDY4NzU@._V1_UY209_CR46,0,140,209_AL_.jpg",TM_29,Oram Po,2007,120 min,"Action, Drama",6.8,Chandru is an expert auto rickshaw driver and racer while his friend Bigilu is an expert mechanic. Chandru's life begins to unravel after he loses a race due to a distraction.,Gayatri,"Pushkar,Arya,Pooja Umashankar,Jagan",245
https://www.imdb.com/title/tt0049549/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMTgzMTYzMzE0Nl5BMl5BanBnXkFtZTcwMDA2ODQyMQ@@._V1_UY209_CR1,0,140,209_AL_.jpg",TM_30,New Delhi,1956,176 min,"Comedy, Drama, Musical",7.5,"Complications, impersonations and moral dilemmas arise when a Punjabi pretends to be a Tamil in order to obtain accommodation in New Delhi. An eloquent and entertaining plea for national ...                 »",Mohan Segal,"Kishore Kumar,Vyjayanthimala,Jabeen Jalil,Prabhu Dayal",56
https://www.imdb.com/title/tt1621424/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BZDk2MzgyMmQtYTA2My00YzQzLWIxM2MtZmIyZjU4N2FkMDQ2XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_UY209_CR6,0,140,209_AL_.jpg",TM_31,Jayam Kondaan,2008,145 min,"Action, Romance",6.2,"When Arjun relocates from London to Chennai to start a business, he finds out that his late father had a second family and that his half-sister Brinda is trying to sell their ancestral property.",R. Kannan,"Vinay Rai,Bhavana,Lekha Washington,Kishore Kumar G.",184
https://www.imdb.com/title/tt7218796/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BOGNlYzViMDctY2VmNC00MjI1LTk0NmQtNGQ0OTVjODI4YzYzXkEyXkFqcGdeQXVyMzQ1NjAyMTA@._V1_UX140_CR0,0,140,209_AL_.jpg",TM_32,Ladies and Gentlewomen,2017,47 min,Documentary,7.4,"The documentary narrated the tale of Tija and Bija, a lesbian couple, believed to be from Rajasthan and also about a Tamil folktale that features the lovers Pappathi and Karupaayi . Apart ...                 »",Malini Jeevarathnam,,5
https://www.imdb.com/title/tt2356688/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BYzhmZjlmMTItMDViOS00YTBmLTkxNDEtMjI5ZDVmYzFlOTA2XkEyXkFqcGdeQXVyMjM5NDY4NzU@._V1_UY209_CR47,0,140,209_AL_.jpg",TM_33,Madhubaanakadai,2012,112 min,"Comedy, Drama, Musical",7.2,"A day at a bar, on the day before Gandhi's birthday.",Kamalakannan,"Arvind Annamalai,Dhiyana,Jana,Karthivel",62
https://www.imdb.com/title/tt1621809/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BYjI4MDMxYzItMGY3OC00NDM0LWJmMzQtNjVlOWRhYWYzNzViXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_UY209_CR14,0,140,209_AL_.jpg",TM_34,Koodal Nagar,2007,132 min,Romance,3.9,"The story is set in a suburb of Madurai. Suryan (Bharath) and Chandran (Bharath) are twins. Suryan, the elder of the two is soft spoken guy who works at a local lending library and he falls...                 »",Seenu Ramasamy,"Bharath Srinivasan,Sandhya,Bhavana,Ilavarasu",34
https://www.imdb.com/title/tt0781434/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BOGViMDFlNzctNzI3ZC00OWU4LWI0ZDUtMWNhOTJjM2QxMzkyXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY209_CR4,0,140,209_AL_.jpg",TM_35,Navarasa,2005,99 min,Drama,7.8,"Swetha, 13, discovers that her uncle Gautham dresses as a woman once night has fallen. Intrigued, she asks him about him, and he confesses her that his dream would be to escape to Koovagam,...                 »",Santosh Sivan,"Shweta,Apeksha Bhat,Bobby Darling,Ghanteshwar T. Guru",29
