url,id,title,released_year,runtime,genre,rate,description,directed_by,cast,votes
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_142,Three Rooms in Manhattan,1965,110 min,Drama,6.7,"When his wife leaves him, a young French actor, François Combe, moves to New York to work for a television company. One evening, he meets an attractive young woman, Kay Larsi, in a bar.",Marcel Carné,"Annie Girardot,Maurice Ronet,O.E. Hasse,Roland Lesaffre",326
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_143,Going to Pieces: The Rise and Fall of the Slasher Film,2006,88 min,"Documentary, Horror",7.3,A documentary on the history of the slasher film.,Ed Green,"John Carpenter,Wes Craven,Herb Freed",2993
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_144,Lions Love (... and Lies),1969,110 min,"Comedy, Drama",5.9,Three actors in Hollywood live and love together. A director comes from New York to make a movie about actors and Hollywood.,Agnès Varda,"Viva,Gerome Ragni,James Rado,Shirley Clarke",305
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_145,Taylor Swift: Wildest Dreams,2015,4 min,"Short, Music",7.6,"On location in the wilderness, a volatile young actress falls in love with her leading man in Taylor Swift's music video for her song Wildest Dreams.",Joseph Kahn,"Taylor Swift,Patrick Cronen,Scott Eastwood,Diana Gettinger",673
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_146,Confessions of a Porn Addict,2008,80 min,Comedy,5,a love story...,Duncan Christie,"Spencer Rice,Mark Breslin,Lindsey Connell,Michael McMurtry",734
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_147,Scooby-Doo Goes Hollywood,1979,49 min,"Animation, Comedy, Family",6.3,"When Scooby tries to make it big in Hollywood with little success, the rest of the gang try to convince him to return to his normal Saturday morning cartoon.",Ray Patterson,"Don Messick,Casey Kasem,Frank Welker,Heather North",787
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_148,How to Be a Serial Killer,2008,91 min,"Comedy, Crime, Horror",5.6,A serial killer decides to teach the secrets of his satisfying career to a video store clerk.,Luke Ricci,"Dameon Clarke,Matthew Gray Gubler,Laura Regan,George Wyner",1889
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_149,Memories of Me,1988,105 min,"Comedy, Drama",5.7,"On his girlfriend's insistence, a disgruntled man tries to make peace with his high-spirited, street-smart and often irritatingly careless father, a failed actor who never quit his dream to be a success.",Henry Winkler,"Billy Crystal,Alan King,JoBeth Williams,Janet Carroll",826
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_150,"Boy, Did I Get a Wrong Number!",1966,99 min,Comedy,5.6,A seductive starlet flees Hollywood and causes chaos for a real estate agent.,George Marshall,"Bob Hope,Elke Sommer,Phyllis Diller,Cesare Danova",859
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_151,Trapped Ashes,2006,105 min,Horror,4.7,Seven strangers on a Hollywood movie studio tour are trapped inside an infamous House of Horror and forced to tell their most terrifying stories to get out alive.,Sean S. Cunningham,"Joe Dante,John Gaeta,Monte Hellman,Ken Russell",1391
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_152,Vampire: The Masquerade - Bloodlines,2004,,"Horror, Action, Adventure",9.2,"Beginning your journey as a new Kindred, you must choose your path to follow the high class Vampire Society, or the lawbreaking group of Anarchs as you find your place in this new world.",Jason Anderson,"Leonard Boyarsky,André Sogliuzzo,Andy Milder,Armando Valdes-Kennedy",1363
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_153,Brother's Justice,2010,80 min,Comedy,4.6,"Motivated by Box Office statistics, Dax Shepard has made a decision to leave comedy to pursue his dream of becoming an international Martial Arts action star.",David Palmer,"Dax Shepard,Dax Shepard,Nate Tuck,Greg Siegel",459
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_154,Tonight for Sure,1962,69 min,"Comedy, Western",3.2,On the club's stage reality and fiction are mixed.,Francis Ford Coppola,"Karl Schanzer,Don Kenney,Marli Renfro,Virginia Gordon",149
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_155,Lucy & Desi: Before the Laughter,1991,95 min,"Biography, Drama, Romance",6.6,This made for TV movie tells the story of Lucille Ball and Desi Arnaz. It begins in the 1930's when they met as actors under contract at RKO and ends with their divorce in 1960. In between ...                 »,Charles Jarrott,"Frances Fisher,Maurice Benard,Robin Pearson Rose,John Wheeler",183
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_156,Tom and Jerry: The Fast and the Furry,2005,75 min,"Animation, Action, Adventure",6.5,"After wrecking their house during a chase, Tom and Jerry enter a race around the world where the winner gets a new fancy house.",Bill Kopp,"Charlie Adler,Jeff Bennett,John DiMaggio,Jess Harnell",1153
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_157,American Hardcore,2006,100 min,"Documentary, History, Music",7.4,The History of American Punk Rock 1980-1986,Paul Rachman,"Greg Ginn,Ian MacKaye,James Drescher,Lucky Lehrer",2999
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_158,The Comeback Kids,2014,,Comedy,7.8,"Richie Eisenberg & Gary Fischer were child stars in the 80's. Now in their 40's, they're giving their big dream another chance. The problem, Hollywood has changed and they both struggle to make sense of a business they once conquered.",Richard Steven Horvitz,"Joe Cipriano,Keith Coogan,Melissa Disney",15
