url,id,title,release_year,genre,description,directed_by,cast,cast,cast,cast,runtime,rate,votes,,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,44,James Dean,2001,"Biography, Drama","A biopic about the actor , whose stardom of the ultimate teenage rebel as well as the premature death made him a legend. His roles are depicted having much in common with his ...                 »",Mark Rydell,James Franco,Michael Moriarty,Valentina Cervi,Enrico Colantoni,120 min,7.4,"4,638",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,45,Calendar Girls,2003,"Comedy, Drama",A Women's Institute chapter's fundraising effort for a local hospital by posing nude for a calendar becomes a media sensation.,Nigel Cole,Helen Mirren,Julie Walters,Penelope Wilton,John Alderton,108 min,6.9,"21,126",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,46,Real Rob,2015,Comedy,Centers around comedian Rob Schneider's real life while living in Hollywood.,Rob Schneider,Patricia Maya Schneider,Jamie Lissow,Miranda Scarlett Schneider,,30 min,6.5,"1,877",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,47,Auto Focus,2002,"Biography, Crime, Drama",The life of TV star  and his strange friendship with electronics expert John Henry Carpenter.,Paul Schrader,Greg Kinnear,Willem Dafoe,Maria Bello,Rita Wilson,105 min,6.6,"12,150",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,48,Star 80,1983,"Biography, Drama",A successful young model finds trouble when her obsessive manager-turned-husband becomes dangerously jealous. Based on the true story of 1980 Playmate of the Year Dorothy Stratten.,Bob Fosse,Mariel Hemingway,Eric Roberts,Cliff Robertson,Carroll Baker,103 min,6.7,"4,847",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,49,Stalked by a Reality Star,2018,Thriller,"A teenage girl lies about her age to get into a Hollywood party and meets a handsome reality TV star - but when she finds out he is a creep and rejects him, he becomes obsessed and starts ...                 »",Robert Malenfant,Cynthia Preston,Emily Bader,Robert Scott Wilson,Jordan Doww,90 min,5.4,116,,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,50,Animaniacs,1993–1998,"Animation, Comedy, Family","Ensemble cast of off-the-wall Warner Brothers characters, appearing in a wide variety of roles. Wakko, Yakko, and Dot Warner, are WB Studio creations who were just too ""zany"" to be of any ...                 »",Rob Paulsen,Jess Harnell,Tress MacNeille,Frank Welker,,21 min,7.9,"18,377",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt0065088/?ref_=kw_li_i,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,51,"They Shoot Horses, Don't They?",1969,Drama,The lives of a disparate group of contestants intertwine in an inhumanely grueling dance marathon.,Sydney Pollack,Jane Fonda,Michael Sarrazin,Susannah York,Gig Young,129 min,7.9,"13,961",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt0265029/?ref_=kw_li_i,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,52,America's Sweethearts,2001,"Comedy, Romance",A movie publicist deals with the messy public split of his movie's co-stars while keeping reporters at bay while a reclusive director holds the film's print hostage.,Joe Roth,Julia Roberts,John Cusack,Billy Crystal,Catherine Zeta-Jones,102 min,5.7,"51,065",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt0074777/?ref_=kw_li_i,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,53,The Last Tycoon,1976,"Drama, Romance",'s novel is brought to life in this story of a movie producer slowly working himself to death.,Elia Kazan,Robert De Niro,Tony Curtis,Robert Mitchum,Jeanne Moreau,123 min,6.3,"7,066",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt4662420/?ref_=kw_li_i,,,,
