image,url,id,title,release_year,runtime,genre,rate,description,directed_by,cast,cast,cast,cast,votes
https://www.imdb.com/title/tt2831404/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,25,Dr. Cabbie,2014,101 min,Comedy,6.1,"An Indian doctor emigrates to Canada in the hope of starting a new life, but bureaucracy confines him to life as a taxi driver. When he cannot suppress his desire to practice medicine, he begins illegally treating patients from his cab.",Jean-François Pouliot,Vinay Virmani,Adrianne Palicki,Kunal Nayyar,Lillete Dubey,"2,678"
https://www.imdb.com/title/tt1753640/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,26,Crook: It's Good to Be Bad,2010,121 min,"Action, Crime, Drama",5.1,Corrupt police and racially motivated attacks against Indian students complicate a re-located crook's life and romance in Australia.,Mohit Suri,Emraan Hashmi,Neha Sharma,Arjan Bajwa,Mashhoor Amrohi,"1,522"
https://www.imdb.com/title/tt0195002/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,27,Kaun?,1999,90 min,"Mystery, Thriller",7.7,"While alone in the house, a woman hears news of serial killer on the loose. And then a stranger rings the doorbell...",Ram Gopal Varma,Urmila Matondkar,Manoj Bajpayee,Sushant Singh,,"2,715"
https://www.imdb.com/title/tt2417560/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,28,Filmistaan,2012,117 min,Comedy,7.3,"In Mumbai, affable Bollywood buff and wanna-be-actor Sunny, who works as an assistant director, fantasizes on becoming a heart-throb star. However, at every audition he is summarily thrown ...                 »",Nitin Kakkar,Sharib Hashmi,Inaamulhaq,Kumud Mishra,Gopal Dutt,"3,008"
https://www.imdb.com/title/tt1602476/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,29,Badmaa$h Company,2010,142 min,"Comedy, Crime, Drama",6,Four youngsters grow rich together with a big idea in 90's middle-class Bombay. All is hunky dory till they are forced to shut shop until a plan comes up.,Parmeet Sethi,Shahid Kapoor,Anushka Sharma,Meiyang Chang,Vir Das,"5,324"
https://www.imdb.com/title/tt5912310/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,30,Badman,2016,84 min,"Comedy, Drama",5.2,"A mad, comic caper where the legendary Bad Man of Bollywood, Gulshan Grover relaunches himself in the film industry, but this time as a hero! With celebrity cameos, hilarious delusional ...                 »",Soumik Sen,Ajit Andhare,Mahesh Bhatt,Anupama Chopra,Gopal Dutt,15
https://www.imdb.com/title/tt2188805/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,31,Login,2012,125 min,"Drama, Thriller",6.2,This movie is about three characters who are connected to the Internet and end up disconnecting their actual life.,Sanjeev Reddy,Himanshu Bhatt,Raadhika Singh,Akkash Basnet,Rashmi Gautam,83
https://www.imdb.com/title/tt5544662/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,32,Sweetiee Weds NRI,2017,116 min,"Comedy, Drama, Romance",3.5,Sweetie's father wants her daughter to get married to an NRI from England.,Hasnain Hyderabadwala,Himansh Kohli,Zoya Afroz,Darshan Jariwala,Kiran Juneja,170
https://www.imdb.com/title/tt7399620/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,33,Game Over,2017,140 min,Thriller,7.1,"GAME OVER - Story of a Con Girl - Bold and Beautiful, Smart and Intelligent; but that's not enough to play the Game of Life - Game of Gamble.",Paresh Vinodray Savani,Rajesh Sharma,Yashpal Sharma,Rakesh Bedi,Gurleen Chopra,58
https://www.imdb.com/title/tt1340778/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,34,I Am 24,2010,118 min,"Comedy, Romance",6.8,The perks of lying.,Saurabh Shukla,Rajat Kapoor,Ranvir Shorey,Neha Dhupia,Manjari Phadnis,"1,111"
